Hotel Name,Check-in,Check-out,Price
Taipei Marriott,2025-10-02,2025-10-03,8300
Taipei Marriott,2025-10-02,2025-10-03,8800
Taipei Marriott,2025-10-02,2025-10-03,9300
Taipei Marriott,2025-10-02,2025-10-03,9800
Taipei Marriott,2025-10-15,2025-10-16,10028
Taipei Marriott,2025-10-15,2025-10-16,10300
Taipei Marriott,2025-10-15,2025-10-16,10500
Taipei Marriott,2025-10-15,2025-10-16,10528
Taipei Marriott,2025-10-15,2025-10-16,10756
Taipei Marriott,2025-10-15,2025-10-16,11000
Taipei Marriott,2025-10-15,2025-10-16,11228
Taipei Marriott,2025-10-15,2025-10-16,11256
Taipei Marriott,2025-10-15,2025-10-16,11728
Taipei Marriott,2025-10-15,2025-10-16,11956
Taipei Marriott,2025-10-15,2025-10-16,12456
Taipei Marriott,2025-10-15,2025-10-16,13300
Taipei Marriott,2025-10-15,2025-10-16,16800
Taipei Marriott,2025-10-15,2025-10-16,36800
Taipei Marriott,2025-10-15,2025-10-16,5984
Taipei Marriott,2025-10-15,2025-10-16,6800
Taipei Marriott,2025-10-15,2025-10-16,7600
Taipei Marriott,2025-10-15,2025-10-16,8000
Taipei Marriott,2025-10-15,2025-10-16,8300
Taipei Marriott,2025-10-15,2025-10-16,8800
Taipei Marriott,2025-10-15,2025-10-16,9300
Taipei Marriott,2025-10-15,2025-10-16,9800
Taipei Marriott,2025-11-02,2025-11-03,10028
Taipei Marriott,2025-11-02,2025-11-03,10300
Taipei Marriott,2025-11-02,2025-11-03,10500
Taipei Marriott,2025-11-02,2025-11-03,10528
Taipei Marriott,2025-11-02,2025-11-03,10756
Taipei Marriott,2025-11-02,2025-11-03,11000
Taipei Marriott,2025-11-02,2025-11-03,11228
Taipei Marriott,2025-11-02,2025-11-03,11256
Taipei Marriott,2025-11-02,2025-11-03,11728
Taipei Marriott,2025-11-02,2025-11-03,11956
Taipei Marriott,2025-11-02,2025-11-03,12456
Taipei Marriott,2025-11-02,2025-11-03,13300
Taipei Marriott,2025-11-02,2025-11-03,16800
Taipei Marriott,2025-11-02,2025-11-03,36800
Taipei Marriott,2025-11-02,2025-11-03,5984
Taipei Marriott,2025-11-02,2025-11-03,6800
Taipei Marriott,2025-11-02,2025-11-03,7600
Taipei Marriott,2025-11-02,2025-11-03,8000
Taipei Marriott,2025-11-02,2025-11-03,8300
Taipei Marriott,2025-11-02,2025-11-03,8800
Taipei Marriott,2025-11-02,2025-11-03,9300
Taipei Marriott,2025-11-02,2025-11-03,9800
Taipei Marriott,2025-11-15,2025-11-16,10528
Taipei Marriott,2025-11-15,2025-11-16,10800
Taipei Marriott,2025-11-15,2025-11-16,11000
Taipei Marriott,2025-11-15,2025-11-16,11256
Taipei Marriott,2025-11-15,2025-11-16,11500
Taipei Marriott,2025-11-15,2025-11-16,11728
Taipei Marriott,2025-11-15,2025-11-16,12228
Taipei Marriott,2025-11-15,2025-11-16,12456
Taipei Marriott,2025-11-15,2025-11-16,12956
Taipei Marriott,2025-11-15,2025-11-16,13800
Taipei Marriott,2025-11-15,2025-11-16,17300
Taipei Marriott,2025-11-15,2025-11-16,37300
Taipei Marriott,2025-11-15,2025-11-16,6716
Taipei Marriott,2025-11-15,2025-11-16,8800
Taipei Marriott,2025-11-15,2025-11-16,9300
Taipei Marriott,2025-11-15,2025-11-16,9800
Taipei Marriott,2025-12-02,2025-12-03,10200
Taipei Marriott,2025-12-02,2025-12-03,10700
Taipei Marriott,2025-12-02,2025-12-03,10928
Taipei Marriott,2025-12-02,2025-12-03,11200
Taipei Marriott,2025-12-02,2025-12-03,11400
Taipei Marriott,2025-12-02,2025-12-03,11428
Taipei Marriott,2025-12-02,2025-12-03,11656
Taipei Marriott,2025-12-02,2025-12-03,11900
Taipei Marriott,2025-12-02,2025-12-03,12128
Taipei Marriott,2025-12-02,2025-12-03,12156
Taipei Marriott,2025-12-02,2025-12-03,12628
Taipei Marriott,2025-12-02,2025-12-03,12856
Taipei Marriott,2025-12-02,2025-12-03,13356
Taipei Marriott,2025-12-02,2025-12-03,14200
Taipei Marriott,2025-12-02,2025-12-03,17700
Taipei Marriott,2025-12-02,2025-12-03,37700
Taipei Marriott,2025-12-02,2025-12-03,6776
Taipei Marriott,2025-12-02,2025-12-03,7700
Taipei Marriott,2025-12-02,2025-12-03,8500
Taipei Marriott,2025-12-02,2025-12-03,8900
Taipei Marriott,2025-12-02,2025-12-03,9200
Taipei Marriott,2025-12-02,2025-12-03,9700
Taipei Marriott,2025-12-15,2025-12-16,10200
Taipei Marriott,2025-12-15,2025-12-16,10700
Taipei Marriott,2025-12-15,2025-12-16,10928
Taipei Marriott,2025-12-15,2025-12-16,11200
Taipei Marriott,2025-12-15,2025-12-16,11400
Taipei Marriott,2025-12-15,2025-12-16,11428
Taipei Marriott,2025-12-15,2025-12-16,11656
Taipei Marriott,2025-12-15,2025-12-16,11900
Taipei Marriott,2025-12-15,2025-12-16,12128
Taipei Marriott,2025-12-15,2025-12-16,12156
Taipei Marriott,2025-12-15,2025-12-16,12628
Taipei Marriott,2025-12-15,2025-12-16,12856
Taipei Marriott,2025-12-15,2025-12-16,13356
Taipei Marriott,2025-12-15,2025-12-16,14200
